run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,lstm,99775.047,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,qlstm,99975.367,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,gru,99846.773,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,qgru,99747.883,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,ann,99983.18,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,lstm,34.252,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,qlstm,33.668,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,gru,33.499,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,qgru,34.227,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,ann,34.227,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,lstm,41.663,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,qlstm,44.513,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,gru,47.998,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,qgru,50.659,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,ann,47.464,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,lstm,99708.805,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,qlstm,100033.312,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,gru,99847.977,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,qgru,99787.359,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,ann,100070.734,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,lstm,33.258,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,qlstm,32.704,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,gru,32.359,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,qgru,33.836,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,ann,32.806,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,lstm,42.094,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,qlstm,48.087,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,gru,46.711,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,qgru,54.032,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,ann,46.902,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,lstm,99598.531,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,qlstm,99869.164,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,gru,99706.719,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,qgru,99627.406,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,ann,99827.992,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,lstm,33.642,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,qlstm,33.147,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,gru,32.677,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,qgru,34.33,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,ann,33.61,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,lstm,40.022,%
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,qlstm,44.74,%
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,gru,39.352,%
